CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr12,132434508,132565005,57634,28,52,78,11,20,25,130497,0.02%,0.04%,0.06%,0.01%,0.02%,0.02%
chr1,115259534,115301297,7812,10,28,42,2,5,8,41763,0.02%,0.07%,0.10%,0.00%,0.01%,0.02%
chr4,26165077,26436541,3516,27,69,102,17,39,52,271464,0.01%,0.03%,0.04%,0.01%,0.01%,0.02%
chr20,9049410,9461889,5332,47,95,125,33,59,79,412479,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr15,65134088,65160206,80301,12,28,36,1,4,5,26118,0.05%,0.11%,0.14%,0.00%,0.02%,0.02%
chr16,20791515,20911671,112479,21,50,73,7,13,23,120156,0.02%,0.04%,0.06%,0.01%,0.01%,0.02%
chr11,118064455,118095809,120425,18,45,60,2,4,6,31354,0.06%,0.14%,0.19%,0.01%,0.01%,0.02%
chr12,117348761,117468953,26259,22,40,73,8,13,23,120192,0.02%,0.03%,0.06%,0.01%,0.01%,0.02%
chr5,139026884,139063467,51523,11,24,36,3,5,7,36583,0.03%,0.07%,0.10%,0.01%,0.01%,0.02%
chr16,52471917,52581714,27324,26,62,91,9,14,21,109797,0.02%,0.06%,0.08%,0.01%,0.01%,0.02%
chr5,49692026,49739082,133418,13,43,49,3,8,9,47056,0.03%,0.09%,0.10%,0.01%,0.02%,0.02%
chr2,169921299,169952677,10170,13,28,37,5,5,6,31378,0.04%,0.09%,0.12%,0.02%,0.02%,0.02%
chr8,68334360,68658620,57094,45,72,100,26,40,62,324260,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr11,9685624,9774538,23075,16,48,69,7,14,17,88914,0.02%,0.05%,0.08%,0.01%,0.02%,0.02%
chr1,157715523,157746922,79368,11,29,46,0,3,6,31399,0.04%,0.09%,0.15%,0.00%,0.01%,0.02%
chr1,185265520,185286461,10625,8,27,33,0,4,4,20941,0.04%,0.13%,0.16%,0.00%,0.02%,0.02%
chr19,19144384,19170563,93436,24,48,69,2,4,5,26179,0.09%,0.18%,0.26%,0.01%,0.02%,0.02%
chr20,36322408,36500531,56259,19,59,84,6,25,34,178123,0.01%,0.03%,0.05%,0.00%,0.01%,0.02%
chr7,113516832,113715975,5506,14,42,58,10,28,38,199143,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr1,38268616,38273857,79693,10,25,50,1,1,1,5241,0.19%,0.48%,0.95%,0.02%,0.02%,0.02%
chr4,148653214,148993931,79658,34,66,95,26,49,65,340717,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr16,53467889,53525561,5934,18,45,65,3,6,11,57672,0.03%,0.08%,0.11%,0.01%,0.01%,0.02%
chr18,32073254,32471808,1837,32,64,96,30,51,76,398554,0.01%,0.02%,0.02%,0.01%,0.01%,0.02%
chr1,156495197,156542396,128239,13,26,34,3,6,9,47199,0.03%,0.06%,0.07%,0.01%,0.01%,0.02%
chr14,19553365,19590078,404785,22,36,44,5,6,7,36713,0.06%,0.10%,0.12%,0.01%,0.02%,0.02%
chr11,115039938,115375675,23705,25,65,122,13,34,64,335737,0.01%,0.02%,0.04%,0.00%,0.01%,0.02%
chr12,50478755,50494495,6602,5,20,29,0,2,3,15740,0.03%,0.13%,0.18%,0.00%,0.01%,0.02%
chr10,100218875,100995619,60495,76,125,193,60,99,148,776744,0.01%,0.02%,0.02%,0.01%,0.01%,0.02%
chr7,87031013,87109751,5244,17,29,46,8,9,15,78738,0.02%,0.04%,0.06%,0.01%,0.01%,0.02%
chr1,183441351,183567381,9887,20,50,57,9,23,24,126030,0.02%,0.04%,0.05%,0.01%,0.02%,0.02%
chr16,68279207,68294961,23659,8,20,25,0,2,3,15754,0.05%,0.13%,0.16%,0.00%,0.01%,0.02%
chr5,61601989,61833076,3796,27,52,72,19,35,44,231087,0.01%,0.02%,0.03%,0.01%,0.02%,0.02%
chr1,7979907,8000926,3604,15,36,71,2,2,4,21019,0.07%,0.17%,0.34%,0.01%,0.01%,0.02%
chr2,26466038,26513336,3032,12,21,30,3,5,9,47298,0.03%,0.04%,0.06%,0.01%,0.01%,0.02%
chr2,58134786,58387055,7444,20,48,78,14,30,48,252269,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr5,74073399,74162776,26049,14,41,66,5,12,17,89377,0.02%,0.05%,0.07%,0.01%,0.01%,0.02%
chr2,86947296,87005164,64795,12,30,43,4,8,11,57868,0.02%,0.05%,0.07%,0.01%,0.01%,0.02%
chr4,39289076,39367995,5981,15,42,59,7,14,15,78919,0.02%,0.05%,0.07%,0.01%,0.02%,0.02%
chr6,41873092,41888877,9477,7,22,40,1,3,3,15785,0.04%,0.14%,0.25%,0.01%,0.02%,0.02%
chr6,105404923,105531207,389421,15,34,58,7,15,24,126284,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr19,19734477,19739739,9170,11,27,36,1,1,1,5262,0.21%,0.51%,0.68%,0.02%,0.02%,0.02%
chr10,92631473,92668312,10556,21,48,82,2,4,7,36839,0.06%,0.13%,0.22%,0.01%,0.01%,0.02%
chr13,53191605,53217919,144983,10,29,39,1,3,5,26314,0.04%,0.11%,0.15%,0.00%,0.01%,0.02%
chr12,66217911,66360075,8091,24,58,81,7,17,27,142164,0.02%,0.04%,0.06%,0.00%,0.01%,0.02%
chr2,100016938,100106497,51455,13,36,49,4,13,17,89559,0.01%,0.04%,0.05%,0.00%,0.01%,0.02%
chr2,197669726,197675000,401027,9,13,20,1,1,1,5274,0.17%,0.25%,0.38%,0.02%,0.02%,0.02%
chr2,74379655,74406025,55233,16,27,38,2,3,5,26370,0.06%,0.10%,0.14%,0.01%,0.01%,0.02%
chr10,105127724,105148822,6877,9,25,33,1,3,4,21098,0.04%,0.12%,0.16%,0.00%,0.01%,0.02%
chr2,99410309,99552722,343990,16,40,54,7,20,27,142413,0.01%,0.03%,0.04%,0.00%,0.01%,0.02%
chr5,137688285,137772717,51780,9,32,49,1,9,16,84432,0.01%,0.04%,0.06%,0.00%,0.01%,0.02%
chr8,101269288,101348446,25897,12,29,49,5,9,15,79158,0.02%,0.04%,0.06%,0.01%,0.01%,0.02%
chr1,190066792,190446759,339479,31,76,117,18,47,72,379967,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr22,32072242,32146126,253143,11,25,41,5,10,14,73884,0.01%,0.03%,0.06%,0.01%,0.01%,0.02%
chr1,214156524,214214595,5629,17,30,47,5,9,11,58071,0.03%,0.05%,0.08%,0.01%,0.02%,0.02%
chr5,139624624,139682706,5201,11,21,42,2,5,11,58082,0.02%,0.04%,0.07%,0.00%,0.01%,0.02%
chr2,100162323,100759201,3899,43,93,140,36,71,113,596878,0.01%,0.02%,0.02%,0.01%,0.01%,0.02%
chr13,41129804,41240734,2308,16,47,65,8,16,21,110930,0.01%,0.04%,0.06%,0.01%,0.01%,0.02%
chr5,149980642,150038782,11346,13,26,35,4,8,11,58140,0.02%,0.04%,0.06%,0.01%,0.01%,0.02%
chr2,220299568,220363009,100996693,17,37,51,5,9,12,63441,0.03%,0.06%,0.08%,0.01%,0.01%,0.02%
chr2,220299568,220363009,10290,17,37,51,5,9,12,63441,0.03%,0.06%,0.08%,0.01%,0.01%,0.02%
chr4,169013666,169108841,11199,20,38,52,5,13,18,95175,0.02%,0.04%,0.05%,0.01%,0.01%,0.02%
chr1,1716729,1822495,2782,27,57,80,9,15,20,105766,0.03%,0.05%,0.08%,0.01%,0.01%,0.02%
chr12,15475331,15750333,5800,20,51,69,13,35,52,275002,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr7,80371854,80551675,10512,25,64,93,11,27,34,179821,0.01%,0.04%,0.05%,0.01%,0.02%,0.02%
chr19,12572373,12662288,163051,20,47,75,3,9,17,89915,0.02%,0.05%,0.08%,0.00%,0.01%,0.02%
chr3,169684423,169716161,7095,16,35,41,1,5,6,31738,0.05%,0.11%,0.13%,0.00%,0.02%,0.02%
chr12,93164413,93323107,8411,25,54,74,17,24,30,158694,0.02%,0.03%,0.05%,0.01%,0.02%,0.02%
chr14,57735627,57756797,55745,8,21,30,1,2,4,21170,0.04%,0.10%,0.14%,0.00%,0.01%,0.02%
chr5,80708840,81047616,23635,24,78,125,14,46,64,338776,0.01%,0.02%,0.04%,0.00%,0.01%,0.02%
chr16,82068609,82132139,3294,34,63,95,6,10,12,63530,0.05%,0.10%,0.15%,0.01%,0.02%,0.02%
chr13,35516424,36247159,26960,57,139,223,31,84,138,730735,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr5,150273954,150284545,91975,18,34,40,1,2,2,10591,0.17%,0.32%,0.38%,0.01%,0.02%,0.02%
chr17,29233362,29286340,55803,9,23,35,2,5,10,52978,0.02%,0.04%,0.07%,0.00%,0.01%,0.02%
chr12,51487446,51566926,7024,17,37,57,4,10,15,79480,0.02%,0.05%,0.07%,0.01%,0.01%,0.02%
chr6,43149913,43192325,23113,10,28,44,2,7,8,42412,0.02%,0.07%,0.10%,0.00%,0.02%,0.02%
chr17,40023161,40086795,47,16,36,54,3,6,12,63634,0.03%,0.06%,0.08%,0.00%,0.01%,0.02%
chr3,33429828,33482863,7342,14,28,35,3,7,10,53035,0.03%,0.05%,0.07%,0.01%,0.01%,0.02%
chr14,89078775,89259096,161436,12,31,55,9,20,34,180321,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr14,67826714,67853233,1965,11,30,44,2,3,5,26519,0.04%,0.11%,0.17%,0.01%,0.01%,0.02%
chr17,16945859,17120993,23164,23,58,98,10,24,33,175134,0.01%,0.03%,0.06%,0.01%,0.01%,0.02%
chr5,137620954,137674044,995,4,25,39,1,7,10,53090,0.01%,0.05%,0.07%,0.00%,0.01%,0.02%
chr17,63133549,63223821,8787,22,43,66,8,13,17,90272,0.02%,0.05%,0.07%,0.01%,0.01%,0.02%
chr5,49961733,50142356,79668,23,47,87,10,22,34,180623,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr16,15068448,15233196,23042,15,34,54,9,19,31,164748,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr2,106709759,106810795,80146,18,70,102,3,15,19,101036,0.02%,0.07%,0.10%,0.00%,0.01%,0.02%
chr4,55095264,55164414,5156,17,37,51,7,10,13,69150,0.02%,0.05%,0.07%,0.01%,0.01%,0.02%
chr10,61005890,61122939,220965,18,34,48,6,15,22,117049,0.02%,0.03%,0.04%,0.01%,0.01%,0.02%
chr7,149941005,150020814,653857,29,51,67,10,14,15,79809,0.04%,0.06%,0.08%,0.01%,0.02%,0.02%
chr9,95256365,95298937,1842,8,17,26,1,4,8,42572,0.02%,0.04%,0.06%,0.00%,0.01%,0.02%
chr12,69201956,69239214,4193,11,35,56,2,4,7,37258,0.03%,0.09%,0.15%,0.01%,0.01%,0.02%
chr1,9982173,10003465,84328,8,21,30,2,2,4,21292,0.04%,0.10%,0.14%,0.01%,0.01%,0.02%
chr11,16634679,16778428,10944,15,58,91,2,17,27,143749,0.01%,0.04%,0.06%,0.00%,0.01%,0.02%
chr19,37498759,37621216,147923,14,38,61,6,17,23,122457,0.01%,0.03%,0.05%,0.00%,0.01%,0.02%
chr13,73356197,73590591,10464,22,60,105,7,24,44,234394,0.01%,0.03%,0.04%,0.00%,0.01%,0.02%
chr6,131160487,131384462,2037,22,59,109,9,23,42,223975,0.01%,0.03%,0.05%,0.00%,0.01%,0.02%
chr5,149737202,149779871,6949,25,41,64,4,5,8,42669,0.06%,0.10%,0.15%,0.01%,0.01%,0.02%
chr10,98277866,98347209,56889,11,44,69,3,11,13,69343,0.02%,0.06%,0.10%,0.00%,0.02%,0.02%
chr8,28351729,28431775,7976,21,45,60,2,12,15,80046,0.03%,0.06%,0.07%,0.00%,0.01%,0.02%
chr1,178818840,178840187,9068,9,30,37,1,3,4,21347,0.04%,0.14%,0.17%,0.00%,0.01%,0.02%
chr16,56395364,56459450,267,10,34,54,3,9,12,64086,0.02%,0.05%,0.08%,0.00%,0.01%,0.02%
chr6,75962640,75994684,55754,5,18,25,0,5,6,32044,0.02%,0.06%,0.08%,0.00%,0.02%,0.02%
chr6,43044006,43129457,5754,11,21,31,6,9,16,85451,0.01%,0.02%,0.04%,0.01%,0.01%,0.02%
chr18,31431064,31804916,8715,25,68,107,15,45,70,373852,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr2,230787018,230877825,130888,12,39,66,2,8,17,90807,0.01%,0.04%,0.07%,0.00%,0.01%,0.02%
chr12,56321103,56347811,1606,8,17,26,0,3,5,26708,0.03%,0.06%,0.10%,0.00%,0.01%,0.02%
chr15,72406599,72433311,123228,3,6,10,2,3,5,26712,0.01%,0.02%,0.04%,0.01%,0.01%,0.02%
chr16,31000577,31021949,112755,4,16,20,0,2,4,21372,0.02%,0.07%,0.09%,0.00%,0.01%,0.02%
chr2,187454792,187545628,3685,11,26,42,5,10,17,90836,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr13,46916139,47012325,80183,24,56,88,7,12,18,96186,0.02%,0.06%,0.09%,0.01%,0.01%,0.02%
chr2,133402426,133429152,116372,17,40,71,2,4,5,26726,0.06%,0.15%,0.27%,0.01%,0.01%,0.02%
chr12,113860042,113876081,113675,17,37,45,0,3,3,16039,0.11%,0.23%,0.28%,0.00%,0.02%,0.02%
chr18,12991361,13125051,55125,14,42,74,6,14,25,133690,0.01%,0.03%,0.06%,0.00%,0.01%,0.02%
chr7,87462883,87505672,55972,13,28,35,4,7,8,42789,0.03%,0.07%,0.08%,0.01%,0.02%,0.02%
chr1,207669492,207813992,1378,24,55,75,8,18,27,144500,0.02%,0.04%,0.05%,0.01%,0.01%,0.02%
chr2,88047606,88058312,5343,7,14,18,1,2,2,10706,0.07%,0.13%,0.17%,0.01%,0.02%,0.02%
chr2,88047606,88058312,5342,7,14,18,1,2,2,10706,0.07%,0.13%,0.17%,0.01%,0.02%,0.02%
chr12,15260717,15501609,85004,28,70,100,11,31,45,240892,0.01%,0.03%,0.04%,0.00%,0.01%,0.02%
chr5,128795958,129074376,171019,37,68,93,21,38,52,278418,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr5,126853301,126890781,133619,21,37,49,4,5,7,37480,0.06%,0.10%,0.13%,0.01%,0.01%,0.02%
chr5,147763498,147822399,81545,15,26,38,2,6,11,58901,0.03%,0.04%,0.06%,0.00%,0.01%,0.02%
chr4,99792835,99851788,1977,15,32,54,2,6,11,58953,0.03%,0.05%,0.09%,0.00%,0.01%,0.02%
chr11,67922330,67981295,51111,17,36,50,5,7,11,58965,0.03%,0.06%,0.08%,0.01%,0.01%,0.02%
chr5,23507264,23528706,56979,11,37,63,0,1,4,21442,0.05%,0.17%,0.29%,0.00%,0.00%,0.02%
chr14,103243813,103377837,7187,19,40,64,7,16,25,134024,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr15,42565431,42645864,2595,19,28,36,10,14,15,80433,0.02%,0.03%,0.04%,0.01%,0.02%,0.02%
chr1,202860228,202897764,59349,17,28,45,2,3,7,37536,0.05%,0.07%,0.12%,0.01%,0.01%,0.02%
chr19,52534632,52598991,9668,23,51,76,6,10,12,64359,0.04%,0.08%,0.12%,0.01%,0.02%,0.02%
chr3,72420976,72496069,23429,22,63,101,1,5,14,75093,0.03%,0.08%,0.13%,0.00%,0.01%,0.02%
chr1,33240840,33283754,8565,10,20,34,4,6,8,42914,0.02%,0.05%,0.08%,0.01%,0.01%,0.02%
chr11,15987995,16761138,55553,42,130,200,29,93,144,773143,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr3,52867137,52931578,375346,12,30,39,4,9,12,64441,0.02%,0.05%,0.06%,0.01%,0.01%,0.02%
chr2,97502348,97523832,51239,7,18,24,1,3,4,21484,0.03%,0.08%,0.11%,0.00%,0.01%,0.02%
chr18,32556892,32723434,10982,12,38,58,6,20,31,166542,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr2,113033171,113097640,376940,12,23,30,7,10,12,64469,0.02%,0.04%,0.05%,0.01%,0.02%,0.02%
chr6,50681541,50740701,83741,12,33,46,2,8,11,59160,0.02%,0.06%,0.08%,0.00%,0.01%,0.02%
chr12,122355768,122441833,144406,15,34,47,5,10,16,86065,0.02%,0.04%,0.05%,0.01%,0.01%,0.02%
chr1,27022524,27108595,8289,12,31,44,4,10,16,86071,0.01%,0.04%,0.05%,0.00%,0.01%,0.02%
chr4,159122756,159176563,55314,12,26,37,1,6,10,53807,0.02%,0.05%,0.07%,0.00%,0.01%,0.02%
chr5,72251808,72386349,115548,19,50,77,10,17,25,134541,0.01%,0.04%,0.06%,0.01%,0.01%,0.02%
chr14,69517598,69619867,8816,11,41,69,2,13,19,102269,0.01%,0.04%,0.07%,0.00%,0.01%,0.02%
chr7,65670186,65885530,8460,32,58,72,17,32,40,215344,0.01%,0.03%,0.03%,0.01%,0.01%,0.02%
chr14,31569318,31677010,25831,13,32,54,6,12,20,107692,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr5,44303646,44389808,2255,11,40,59,3,11,16,86162,0.01%,0.05%,0.07%,0.00%,0.01%,0.02%
chr5,148871760,148931007,1452,19,51,84,2,5,11,59247,0.03%,0.09%,0.14%,0.00%,0.01%,0.02%
chr16,23399814,23464501,91949,22,39,51,6,10,12,64687,0.03%,0.06%,0.08%,0.01%,0.02%,0.02%
chr7,65338254,65424550,154807,19,39,54,5,12,16,86296,0.02%,0.05%,0.06%,0.01%,0.01%,0.02%
chr1,220267444,220321380,55699,15,33,44,4,8,10,53936,0.03%,0.06%,0.08%,0.01%,0.01%,0.02%
chr17,41878167,41910538,4356,16,35,49,3,5,6,32371,0.05%,0.11%,0.15%,0.01%,0.02%,0.02%
chr6,71377479,71571718,60682,20,68,98,6,28,36,194239,0.01%,0.04%,0.05%,0.00%,0.01%,0.02%
chr22,31321117,31364284,22880,17,50,73,2,4,8,43167,0.04%,0.12%,0.17%,0.00%,0.01%,0.02%
chr10,320130,735683,22982,45,124,173,25,53,77,415553,0.01%,0.03%,0.04%,0.01%,0.01%,0.02%
chr13,37572953,37583750,11340,11,23,27,0,2,2,10797,0.10%,0.21%,0.25%,0.00%,0.02%,0.02%
chr1,148250249,148347506,100132406,13,24,28,9,16,18,97257,0.01%,0.02%,0.03%,0.01%,0.02%,0.02%
chr10,102246399,102289628,25956,18,41,43,5,8,8,43229,0.04%,0.09%,0.10%,0.01%,0.02%,0.02%
chr3,27151576,27410951,152110,33,73,93,19,34,48,259375,0.01%,0.03%,0.04%,0.01%,0.01%,0.02%
chr17,73841780,73852588,23558,9,17,31,1,2,2,10808,0.08%,0.16%,0.29%,0.01%,0.02%,0.02%
chr16,2325882,2390747,21,16,30,47,5,10,12,64865,0.02%,0.05%,0.07%,0.01%,0.02%,0.02%
chr6,42749765,42836298,23506,21,44,70,7,15,16,86533,0.02%,0.05%,0.08%,0.01%,0.02%,0.02%
chr19,47616531,47713886,10055,20,57,90,5,10,18,97355,0.02%,0.06%,0.09%,0.01%,0.01%,0.02%
chr12,102122426,102133250,50511,10,29,50,0,2,2,10824,0.09%,0.27%,0.46%,0.00%,0.02%,0.02%
chr11,89057524,89322779,50507,21,62,85,13,34,49,265255,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr16,61681146,62070939,1006,26,64,110,20,40,72,389793,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr13,60239717,60738121,81624,44,88,132,35,68,92,498404,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr3,69068978,69101484,7110,6,30,39,2,5,6,32506,0.02%,0.09%,0.12%,0.01%,0.02%,0.02%
chr5,10353815,10440500,10299,26,53,77,7,15,16,86685,0.03%,0.06%,0.09%,0.01%,0.02%,0.02%
chr17,40932696,40948954,65266,4,9,14,2,3,3,16258,0.02%,0.06%,0.09%,0.01%,0.02%,0.02%
chr4,174305852,174327531,11341,6,18,26,2,4,4,21679,0.03%,0.08%,0.12%,0.01%,0.02%,0.02%
chr9,127908852,127952218,5537,11,28,33,3,8,8,43366,0.03%,0.06%,0.08%,0.01%,0.02%,0.02%
chr14,104200089,104313927,23368,20,46,56,12,20,21,113838,0.02%,0.04%,0.05%,0.01%,0.02%,0.02%
chr5,37379314,37753537,55100,31,64,107,18,44,69,374223,0.01%,0.02%,0.03%,0.00%,0.01%,0.02%
chr5,134240596,134343649,84105,14,32,53,7,13,19,103053,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr3,166958075,167099134,79740,15,42,53,5,22,26,141059,0.01%,0.03%,0.04%,0.00%,0.02%,0.02%
chr8,117654369,117779164,8667,20,36,63,8,11,23,124795,0.02%,0.03%,0.05%,0.01%,0.01%,0.02%
chr7,74441226,74490064,81554,7,17,33,1,4,9,48838,0.01%,0.03%,0.07%,0.00%,0.01%,0.02%
chr9,69204538,69269662,644019,17,40,73,3,5,12,65124,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr9,69204538,69269662,220869,17,40,73,3,5,12,65124,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr9,69204538,69269662,150472,17,40,73,3,5,12,65124,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr5,15500305,15939900,23194,25,74,101,19,58,81,439595,0.01%,0.02%,0.02%,0.00%,0.01%,0.02%
chr7,99965153,99997719,29992,9,21,31,2,2,6,32566,0.03%,0.06%,0.10%,0.01%,0.01%,0.02%
chr9,131873229,131911225,5524,14,30,45,5,6,7,37996,0.04%,0.08%,0.12%,0.01%,0.02%,0.02%
chr16,48572637,48654059,9683,9,44,54,2,14,15,81422,0.01%,0.05%,0.07%,0.00%,0.02%,0.02%
chr22,39101728,39134304,9567,11,28,40,2,5,6,32576,0.03%,0.09%,0.12%,0.01%,0.02%,0.02%
chr4,123844229,124240605,166378,35,70,110,26,46,73,396376,0.01%,0.02%,0.03%,0.01%,0.01%,0.02%
chr5,64064757,64314590,10283,25,57,94,11,30,46,249833,0.01%,0.02%,0.04%,0.00%,0.01%,0.02%
chr1,206808881,206857764,8444,19,50,79,1,7,9,48883,0.04%,0.10%,0.16%,0.00%,0.01%,0.02%
chr8,24241798,24263526,27299,14,30,56,2,2,4,21728,0.06%,0.14%,0.26%,0.01%,0.01%,0.02%
chr2,219502639,219524378,7701,11,13,14,4,4,4,21739,0.05%,0.06%,0.06%,0.02%,0.02%,0.02%
chr8,25316513,25365436,157313,20,47,63,4,8,9,48923,0.04%,0.10%,0.13%,0.01%,0.02%,0.02%
chr9,70432004,70497240,644019,17,40,73,3,5,12,65236,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr9,70432004,70497240,445571,17,40,73,3,5,12,65236,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr9,70432004,70497240,220869,17,40,73,3,5,12,65236,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr9,70432004,70497240,150472,17,40,73,3,5,12,65236,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr9,70432004,70497240,55871,17,40,73,3,5,12,65236,0.03%,0.06%,0.11%,0.00%,0.01%,0.02%
chr11,59480929,59573354,6809,20,33,38,12,14,17,92425,0.02%,0.04%,0.04%,0.01%,0.02%,0.02%
chr3,30767692,30936257,339896,26,57,88,13,21,31,168565,0.02%,0.03%,0.05%,0.01%,0.01%,0.02%
chr12,133707570,133783698,10795,16,38,48,3,8,14,76128,0.02%,0.05%,0.06%,0.00%,0.01%,0.02%
chr1,93544792,93604638,22823,14,32,53,6,10,11,59846,0.02%,0.05%,0.09%,0.01%,0.02%,0.02%
chr22,41865129,41924993,50,7,26,35,3,9,11,59864,0.01%,0.04%,0.06%,0.01%,0.02%,0.02%
chr4,39184024,39287430,57728,15,34,46,6,14,19,103406,0.01%,0.03%,0.04%,0.01%,0.01%,0.02%
chr16,31724550,31806190,124411,21,38,45,9,14,15,81640,0.03%,0.05%,0.06%,0.01%,0.02%,0.02%
chr11,93463114,93517557,79101,16,31,42,4,9,10,54443,0.03%,0.06%,0.08%,0.01%,0.02%,0.02%
chr19,40575059,40596845,284323,10,18,26,1,2,4,21786,0.05%,0.08%,0.12%,0.00%,0.01%,0.02%
chr11,112097088,112140678,5805,12,25,44,5,7,8,43590,0.03%,0.06%,0.10%,0.01%,0.02%,0.02%
chr19,10764937,10803093,3609,15,31,44,5,6,7,38156,0.04%,0.08%,0.12%,0.01%,0.02%,0.02%
chr19,44732882,44809199,9310,23,44,60,5,11,14,76317,0.03%,0.06%,0.08%,0.01%,0.01%,0.02%
chr11,62392298,62414104,23193,10,18,23,0,3,4,21806,0.05%,0.08%,0.11%,0.00%,0.01%,0.02%
chr19,42772689,42799949,23152,13,17,29,2,3,5,27260,0.05%,0.06%,0.11%,0.01%,0.01%,0.02%
chr5,149340300,149373018,1836,14,38,54,2,5,6,32718,0.04%,0.12%,0.17%,0.01%,0.02%,0.02%
chr3,133784147,133969689,6259,27,63,98,15,26,34,185542,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr6,136172834,136516712,27115,26,55,84,17,40,63,343878,0.01%,0.02%,0.02%,0.00%,0.01%,0.02%
chr8,50822349,51706678,54212,74,125,183,63,111,162,884329,0.01%,0.01%,0.02%,0.01%,0.01%,0.02%
chr9,131857089,131873468,1384,9,22,32,1,2,3,16379,0.05%,0.13%,0.20%,0.01%,0.01%,0.02%
chr12,123459127,123464590,79676,8,16,18,1,1,1,5463,0.15%,0.29%,0.33%,0.02%,0.02%,0.02%
chr16,66648653,66730610,146223,16,29,39,4,10,15,81957,0.02%,0.04%,0.05%,0.00%,0.01%,0.02%
chr6,149979289,150039392,9113,23,43,51,5,11,11,60103,0.04%,0.07%,0.08%,0.01%,0.02%,0.02%
chr6,83870869,83903655,5238,8,17,28,0,4,6,32786,0.02%,0.05%,0.09%,0.00%,0.01%,0.02%
chr5,77656339,77776562,9522,17,40,60,9,14,22,120223,0.01%,0.03%,0.05%,0.01%,0.01%,0.02%
chr19,49843852,49865714,8463,16,36,53,1,2,4,21862,0.07%,0.16%,0.24%,0.00%,0.01%,0.02%
chr22,32149944,32303012,9681,23,46,67,6,13,28,153068,0.02%,0.03%,0.04%,0.00%,0.01%,0.02%
chr10,51827648,51893269,387680,13,29,45,5,9,12,65621,0.02%,0.04%,0.07%,0.01%,0.01%,0.02%
chr12,102406705,102455927,51019,17,36,55,3,7,9,49222,0.03%,0.07%,0.11%,0.01%,0.01%,0.02%
chr18,48700920,48744674,51320,15,36,50,4,6,8,43754,0.03%,0.08%,0.11%,0.01%,0.01%,0.02%
chr9,101493611,101559247,203286,22,52,72,1,9,12,65636,0.03%,0.08%,0.11%,0.00%,0.01%,0.02%
chr12,69864129,69973562,10818,20,49,82,4,13,20,109433,0.02%,0.04%,0.07%,0.00%,0.01%,0.02%
chr4,113152893,113191203,55435,19,37,51,3,5,7,38310,0.05%,0.10%,0.13%,0.01%,0.01%,0.02%
chr1,90098631,90235462,84230,21,48,73,6,15,25,136831,0.02%,0.04%,0.05%,0.00%,0.01%,0.02%
chr5,54408799,54469005,166979,14,23,39,4,6,11,60206,0.02%,0.04%,0.06%,0.01%,0.01%,0.02%
chr3,135969148,136056738,5096,7,19,41,3,6,16,87590,0.01%,0.02%,0.05%,0.00%,0.01%,0.02%
chr16,27236312,27280115,197370,19,54,72,2,7,8,43803,0.04%,0.12%,0.16%,0.00%,0.02%,0.02%
chr6,109765265,109787171,64780,14,26,30,2,4,4,21906,0.06%,0.12%,0.14%,0.01%,0.02%,0.02%
chr11,65029233,65073060,23649,10,29,43,2,4,8,43827,0.02%,0.07%,0.10%,0.00%,0.01%,0.02%
